sample_id,family,family_idx,variant,variant_idx,isolate_idx,replicate,r1_path,r2_path,fold,split
Coronaviridae__SARS-CoV-2__isolate0__rep0,Coronaviridae,0,SARS-CoV-2,0,0,0,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep0_1.fq,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep0_2.fq,0,train
Coronaviridae__SARS-CoV-2__isolate0__rep1,Coronaviridae,0,SARS-CoV-2,0,0,1,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep1_1.fq,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep1_2.fq,0,train
Coronaviridae__SARS-CoV-2__isolate0__rep2,Coronaviridae,0,SARS-CoV-2,0,0,2,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep2_1.fq,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep2_2.fq,0,train
Coronaviridae__SARS-CoV-2__isolate0__rep3,Coronaviridae,0,SARS-CoV-2,0,0,3,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep3_1.fq,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep3_2.fq,0,train
Coronaviridae__SARS-CoV-2__isolate0__rep4,Coronaviridae,0,SARS-CoV-2,0,0,4,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep4_1.fq,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep4_2.fq,0,train
Coronaviridae__SARS-CoV-2__isolate0__rep5,Coronaviridae,0,SARS-CoV-2,0,0,5,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep5_1.fq,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_0/rep5_2.fq,0,train
Coronaviridae__SARS-CoV-2__isolate1__rep0,Coronaviridae,0,SARS-CoV-2,0,1,0,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_1/rep0_1.fq,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_1/rep0_2.fq,1,test
Coronaviridae__SARS-CoV-2__isolate1__rep1,Coronaviridae,0,SARS-CoV-2,0,1,1,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_1/rep1_1.fq,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_1/rep1_2.fq,1,test
Coronaviridae__SARS-CoV-2__isolate1__rep2,Coronaviridae,0,SARS-CoV-2,0,1,2,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_1/rep2_1.fq,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_1/rep2_2.fq,1,test
Coronaviridae__SARS-CoV-2__isolate1__rep3,Coronaviridae,0,SARS-CoV-2,0,1,3,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_1/rep3_1.fq,data/reads_multi/Coronaviridae/SARS-CoV-2/isolate_1/rep3_2.fq,1,test
