family,family_idx,variant,variant_idx,organism,title_keyword,accession,length,defline,fasta_path,note,isolate_idx,fold
Coronaviridae,0,SARS-CoV-2,0,Severe acute respiratory syndrome coronavirus 2,,1798174254,29903,"NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome",data/refs/Coronaviridae/SARS-CoV-2/isolate_0.fasta,,0,0
Coronaviridae,0,SARS-CoV-2,0,Severe acute respiratory syndrome coronavirus 2,,3356549772,29862,"OZ492125.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite",data/refs/Coronaviridae/SARS-CoV-2/isolate_1.fasta,,1,1
Coronaviridae,0,SARS-CoV-2,0,Severe acute respiratory syndrome coronavirus 2,,3356549771,29850,"OZ492124.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite",data/refs/Coronaviridae/SARS-CoV-2/isolate_2.fasta,,2,2
Coronaviridae,0,SARS-CoV-2,0,Severe acute respiratory syndrome coronavirus 2,,3356549770,29844,"OZ492123.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite",data/refs/Coronaviridae/SARS-CoV-2/isolate_3.fasta,,3,3
Coronaviridae,0,SARS-CoV-2,0,Severe acute respiratory syndrome coronavirus 2,,3356549769,29844,"OZ492122.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite",data/refs/Coronaviridae/SARS-CoV-2/isolate_4.fasta,,4,4
Coronaviridae,0,SARS-CoV-2,0,Severe acute respiratory syndrome coronavirus 2,,3356549768,29850,"OZ492121.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite",data/refs/Coronaviridae/SARS-CoV-2/isolate_5.fasta,,5,0
Coronaviridae,0,SARS-CoV-2,0,Severe acute respiratory syndrome coronavirus 2,,3356549767,29862,"OZ492120.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite",data/refs/Coronaviridae/SARS-CoV-2/isolate_6.fasta,,6,1
Coronaviridae,0,SARS-CoV-2,0,Severe acute respiratory syndrome coronavirus 2,,3356549766,29862,"OZ492119.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite",data/refs/Coronaviridae/SARS-CoV-2/isolate_7.fasta,,7,2
Coronaviridae,0,SARS-CoV-2,0,Severe acute respiratory syndrome coronavirus 2,,3356549765,29850,"OZ492118.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite",data/refs/Coronaviridae/SARS-CoV-2/isolate_8.fasta,,8,3
Coronaviridae,0,SARS-CoV-2,0,Severe acute respiratory syndrome coronavirus 2,,3356549764,29862,"OZ492117.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite",data/refs/Coronaviridae/SARS-CoV-2/isolate_9.fasta,,9,4
Coronaviridae,0,SARS-CoV-1,1,SARS coronavirus,complete genome,30271926,29751,"NC_004718.3 SARS coronavirus Tor2, complete genome",data/refs/Coronaviridae/SARS-CoV-1/isolate_0.fasta,,0,0
Coronaviridae,0,SARS-CoV-1,1,SARS coronavirus,complete genome,404325900,29646,"JX163928.1 SARS coronavirus Tor2 isolate Tor2/FP1-10895, complete genome",data/refs/Coronaviridae/SARS-CoV-1/isolate_1.fasta,,1,1
Coronaviridae,0,SARS-CoV-1,1,SARS coronavirus,complete genome,404325885,29646,"JX163927.1 SARS coronavirus Tor2 isolate Tor2/FP1-10851, complete genome",data/refs/Coronaviridae/SARS-CoV-1/isolate_2.fasta,,2,2
Coronaviridae,0,SARS-CoV-1,1,SARS coronavirus,complete genome,404325870,29646,"JX163926.1 SARS coronavirus Tor2 isolate Tor2/FP1-10912, complete genome",data/refs/Coronaviridae/SARS-CoV-1/isolate_3.fasta,,3,3
Coronaviridae,0,SARS-CoV-1,1,SARS coronavirus,complete genome,404325855,29646,"JX163925.1 SARS coronavirus Tor2 isolate Tor2/FP1-10895, complete genome",data/refs/Coronaviridae/SARS-CoV-1/isolate_4.fasta,,4,4
Coronaviridae,0,SARS-CoV-1,1,SARS coronavirus,complete genome,404325840,29646,"JX163924.1 SARS coronavirus Tor2 isolate Tor2/FP1-10851, complete genome",data/refs/Coronaviridae/SARS-CoV-1/isolate_5.fasta,,5,0
Coronaviridae,0,SARS-CoV-1,1,SARS coronavirus,complete genome,404325825,29646,"JX163923.1 SARS coronavirus Tor2 isolate Tor2/FP1-10912, complete genome",data/refs/Coronaviridae/SARS-CoV-1/isolate_6.fasta,,6,1
Coronaviridae,0,SARS-CoV-1,1,SARS coronavirus,complete genome,42563758,29739,"AY545919.1 SARS coronavirus isolate CFB/SZ/94/03, complete genome",data/refs/Coronaviridae/SARS-CoV-1/isolate_7.fasta,,7,2
Coronaviridae,0,SARS-CoV-1,1,SARS coronavirus,complete genome,42563755,29737,"AY545918.1 SARS coronavirus isolate HC/GZ/32/03, complete genome",data/refs/Coronaviridae/SARS-CoV-1/isolate_8.fasta,,8,3
Coronaviridae,0,SARS-CoV-1,1,SARS coronavirus,complete genome,42563753,29739,"AY545917.1 SARS coronavirus isolate HC/GZ/81/03, complete genome",data/refs/Coronaviridae/SARS-CoV-1/isolate_9.fasta,,9,4
Coronaviridae,0,MERS-CoV,2,Middle East respiratory syndrome-related coronavirus,,667489388,30119,"NC_019843.3 Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC/2012, complete genome",data/refs/Coronaviridae/MERS-CoV/isolate_0.fasta,,0,0
Coronaviridae,0,MERS-CoV,2,Middle East respiratory syndrome-related coronavirus,,3336054397,30118,"PZ439299.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/Camel/Kazakhstan/12/2025, complete genome",data/refs/Coronaviridae/MERS-CoV/isolate_1.fasta,,1,1
Coronaviridae,0,MERS-CoV,2,Middle East respiratory syndrome-related coronavirus,,3331960555,29890,"PZ397813.1 Middle East respiratory syndrome-related coronavirus isolate 025192655101, partial genome",data/refs/Coronaviridae/MERS-CoV/isolate_2.fasta,,2,2
Coronaviridae,0,MERS-CoV,2,Middle East respiratory syndrome-related coronavirus,,3129182603,29988,"PX660034.1 Middle East respiratory syndrome-related coronavirus isolate 025188840901RBS1, complete genome",data/refs/Coronaviridae/MERS-CoV/isolate_3.fasta,,3,3
Coronaviridae,0,MERS-CoV,2,Middle East respiratory syndrome-related coronavirus,,2925762487,30051,PV239413.1 UNVERIFIED: Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/dromedary camel/Egypt/STM0244/2023 sequence,data/refs/Coronaviridae/MERS-CoV/isolate_4.fasta,,4,4
Coronaviridae,0,MERS-CoV,2,Middle East respiratory syndrome-related coronavirus,,2925762486,29985,PV239412.1 UNVERIFIED: Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/dromedary camel/Egypt/STM0200/2023 sequence,data/refs/Coronaviridae/MERS-CoV/isolate_5.fasta,,5,0
Coronaviridae,0,MERS-CoV,2,Middle East respiratory syndrome-related coronavirus,,2925762485,30001,PV239411.1 UNVERIFIED: Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/dromedary camel/Egypt/STM0199/2023 sequence,data/refs/Coronaviridae/MERS-CoV/isolate_6.fasta,,6,1
Coronaviridae,0,MERS-CoV,2,Middle East respiratory syndrome-related coronavirus,,2925762484,29995,PV239410.1 UNVERIFIED: Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/dromedary camel/Egypt/STM0198/2023 sequence,data/refs/Coronaviridae/MERS-CoV/isolate_7.fasta,,7,2
