sample_id,family,family_idx,variant,variant_idx,replicate,r1_path,r2_path,split
Coronaviridae__SARS-CoV-2__rep0,Coronaviridae,0,SARS-CoV-2,0,0,data/reads/Coronaviridae/SARS-CoV-2/rep0_1.fq,data/reads/Coronaviridae/SARS-CoV-2/rep0_2.fq,train
Coronaviridae__SARS-CoV-2__rep1,Coronaviridae,0,SARS-CoV-2,0,1,data/reads/Coronaviridae/SARS-CoV-2/rep1_1.fq,data/reads/Coronaviridae/SARS-CoV-2/rep1_2.fq,train
Coronaviridae__SARS-CoV-2__rep2,Coronaviridae,0,SARS-CoV-2,0,2,data/reads/Coronaviridae/SARS-CoV-2/rep2_1.fq,data/reads/Coronaviridae/SARS-CoV-2/rep2_2.fq,train
Coronaviridae__SARS-CoV-2__rep3,Coronaviridae,0,SARS-CoV-2,0,3,data/reads/Coronaviridae/SARS-CoV-2/rep3_1.fq,data/reads/Coronaviridae/SARS-CoV-2/rep3_2.fq,train
Coronaviridae__SARS-CoV-2__rep4,Coronaviridae,0,SARS-CoV-2,0,4,data/reads/Coronaviridae/SARS-CoV-2/rep4_1.fq,data/reads/Coronaviridae/SARS-CoV-2/rep4_2.fq,val
Coronaviridae__SARS-CoV-2__rep5,Coronaviridae,0,SARS-CoV-2,0,5,data/reads/Coronaviridae/SARS-CoV-2/rep5_1.fq,data/reads/Coronaviridae/SARS-CoV-2/rep5_2.fq,test
Coronaviridae__SARS-CoV-1__rep0,Coronaviridae,0,SARS-CoV-1,1,0,data/reads/Coronaviridae/SARS-CoV-1/rep0_1.fq,data/reads/Coronaviridae/SARS-CoV-1/rep0_2.fq,train
Coronaviridae__SARS-CoV-1__rep1,Coronaviridae,0,SARS-CoV-1,1,1,data/reads/Coronaviridae/SARS-CoV-1/rep1_1.fq,data/reads/Coronaviridae/SARS-CoV-1/rep1_2.fq,train
Coronaviridae__SARS-CoV-1__rep2,Coronaviridae,0,SARS-CoV-1,1,2,data/reads/Coronaviridae/SARS-CoV-1/rep2_1.fq,data/reads/Coronaviridae/SARS-CoV-1/rep2_2.fq,train
Coronaviridae__SARS-CoV-1__rep3,Coronaviridae,0,SARS-CoV-1,1,3,data/reads/Coronaviridae/SARS-CoV-1/rep3_1.fq,data/reads/Coronaviridae/SARS-CoV-1/rep3_2.fq,train
Coronaviridae__SARS-CoV-1__rep4,Coronaviridae,0,SARS-CoV-1,1,4,data/reads/Coronaviridae/SARS-CoV-1/rep4_1.fq,data/reads/Coronaviridae/SARS-CoV-1/rep4_2.fq,val
