error_rate,n_samples,per_read_family_acc,per_read_variant_acc_oracle,per_read_leaf_acc,sample_family_acc,sample_leaf_acc_pipeline
0.0,660,95.94117468784096,92.0626742635471,89.17747605770397,100.0,98.18181818181819
0.01,660,92.88398593768942,89.74118074918172,84.27915504909686,100.0,98.18181818181819
0.02,660,88.92214207782762,86.69005333979877,78.07613044005333,100.0,97.87878787878788
0.03,660,84.20414595708571,82.697145108498,70.8032791853558,100.0,97.72727272727273
0.04,660,78.80955267305129,78.55346102557886,63.09931506849315,100.0,97.42424242424242
0.05,660,73.59755727967027,73.81652321493515,55.709025336404416,100.0,97.27272727272727
0.06,660,68.52724572675476,68.80834040489756,48.442993090071525,100.0,97.12121212121212
0.07,660,63.19402351800218,64.31612922778518,42.036155897684566,99.84848484848484,97.12121212121212
0.08,660,58.43284034428416,59.57616074675718,36.19075039398715,97.87878787878788,95.0
0.09,660,54.143684082919144,55.65144259910292,31.494726633531336,93.63636363636364,90.3030303030303
0.1,660,50.18941689901806,51.69414474481756,27.320735846769306,80.45454545454545,76.06060606060606
