error_rate,n_samples,per_read_family_acc,per_read_variant_acc_oracle,per_read_leaf_acc,sample_family_acc,sample_leaf_acc_pipeline
0.0,630,98.54047619047618,95.68730158730159,94.61507936507937,100.0,100.0
0.01,630,97.00952380952381,94.0079365079365,91.58492063492064,100.0,100.0
0.02,630,94.58174603174604,91.4063492063492,86.9047619047619,100.0,100.0
0.03,630,91.13968253968254,88.1595238095238,80.87857142857143,100.0,100.0
0.04,630,87.24920634920635,84.06746031746032,74.03333333333333,100.0,100.0
0.05,630,82.71984126984127,79.64126984126985,66.68809523809524,100.0,100.0
0.06,630,78.06507936507937,74.92460317460318,59.37222222222222,100.0,100.0
0.07,630,73.05873015873016,70.39444444444445,52.47380952380952,100.0,100.0
0.08,630,68.68174603174603,66.01746031746032,46.40396825396825,100.0,100.0
0.09,630,64.03095238095239,61.52777777777778,40.455555555555556,99.36507936507937,98.88888888888889
0.1,630,59.61904761904762,57.384126984126986,35.32698412698413,98.41269841269842,97.46031746031746
