error_rate,n_samples,sample_variant_acc_lenient,sample_variant_acc_strict
0.0,660,96.66666666666667,90.3030303030303
0.01,660,96.81818181818181,90.45454545454545
0.02,660,97.42424242424242,90.75757575757575
0.03,660,97.27272727272727,88.78787878787878
0.04,660,96.66666666666667,87.57575757575758
0.05,660,96.66666666666667,84.54545454545455
0.06,660,96.51515151515152,80.75757575757575
0.07,660,96.06060606060606,78.18181818181819
0.08,660,94.6969696969697,72.27272727272727
0.09,660,94.6969696969697,62.72727272727273
0.1,660,94.24242424242425,32.57575757575758
