error_rate,n_samples,per_read_family_acc,per_read_variant_acc_oracle,per_read_leaf_acc,sample_family_acc,sample_leaf_acc_pipeline
0.0,660,96.23514971511699,92.12707600921324,89.74421141956601,100.0,97.57575757575758
0.01,660,94.29703600436416,89.93665898896836,86.0036064977573,100.0,97.57575757575758
0.02,660,91.47320887380289,86.94917565765547,80.8567705176385,100.0,97.57575757575758
0.03,660,88.03339798763487,82.89944235664929,74.39613892593042,100.0,97.57575757575758
0.04,660,84.11322584555704,78.6042247545157,67.65592799127167,99.84848484848484,97.12121212121212
0.05,660,79.71420778276155,74.18702266941447,60.75963753182204,100.0,96.96969696969697
0.06,660,75.4750575827373,69.25384895138805,54.03609528427688,100.0,96.81818181818181
0.07,660,70.62371196508667,64.89877560916474,47.64516911140744,99.39393939393939,95.15151515151516
0.08,660,66.32697902776094,60.54142926415323,42.036155897684566,99.39393939393939,94.6969696969697
0.09,660,62.027973087646984,56.59701175900109,36.810522487574254,99.0909090909091,93.63636363636364
0.1,660,58.13507697902776,52.71775366711117,32.48575584919384,99.0909090909091,93.93939393939394
