family,family_idx,variant,variant_idx,organism,title_keyword,accession,length,defline,fasta_path,note
Coronaviridae,0,SARS-CoV-2,0,Severe acute respiratory syndrome coronavirus 2,,1798174254,29903,"NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome",data/refs/Coronaviridae/SARS-CoV-2.fasta,
Coronaviridae,0,SARS-CoV-1,1,SARS coronavirus,complete genome,30271926,29751,"NC_004718.3 SARS coronavirus Tor2, complete genome",data/refs/Coronaviridae/SARS-CoV-1.fasta,
Coronaviridae,0,MERS-CoV,2,Middle East respiratory syndrome-related coronavirus,,667489388,30119,"NC_019843.3 Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC/2012, complete genome",data/refs/Coronaviridae/MERS-CoV.fasta,
Coronaviridae,0,HCoV-229E,3,Human coronavirus 229E,,12175745,27317,"NC_002645.1 Human coronavirus 229E, complete genome",data/refs/Coronaviridae/HCoV-229E.fasta,
Coronaviridae,0,HCoV-NL63,4,Human coronavirus NL63,,49169782,27553,"NC_005831.2 Human Coronavirus NL63, complete genome",data/refs/Coronaviridae/HCoV-NL63.fasta,
Coronaviridae,0,HCoV-OC43,5,Human coronavirus OC43,,1578871709,30741,"NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete genome",data/refs/Coronaviridae/HCoV-OC43.fasta,
Coronaviridae,0,HCoV-HKU1,6,Human coronavirus HKU1,,85667876,29926,"NC_006577.2 Human coronavirus HKU1, complete genome",data/refs/Coronaviridae/HCoV-HKU1.fasta,
Coronaviridae,0,Bat-CoV-RaTG13,7,Bat coronavirus RaTG13,,1916859392,29855,"MN996532.2 Bat coronavirus RaTG13, complete genome",data/refs/Coronaviridae/Bat-CoV-RaTG13.fasta,
Flaviviridae,1,Dengue-1,0,Dengue virus 1,,9626685,10735,"NC_001477.1 Dengue virus 1, complete genome",data/refs/Flaviviridae/Dengue-1.fasta,
Flaviviridae,1,Dengue-2,1,Dengue virus 2,,158976983,10723,"NC_001474.2 Dengue virus 2, complete genome",data/refs/Flaviviridae/Dengue-2.fasta,
Flaviviridae,1,Dengue-3,2,Dengue virus 3,,163644368,10707,"NC_001475.2 Dengue virus 3, complete genome",data/refs/Flaviviridae/Dengue-3.fasta,
Flaviviridae,1,Dengue-4,3,Dengue virus 4,,12084822,10649,"NC_002640.1 Dengue virus 4, complete genome",data/refs/Flaviviridae/Dengue-4.fasta,
Flaviviridae,1,Zika,4,Zika virus,,226377833,10794,"NC_012532.1 Zika virus strain MR 766, complete genome",data/refs/Flaviviridae/Zika.fasta,
Flaviviridae,1,West-Nile,5,West Nile virus,,158516887,11029,"NC_009942.1 West Nile virus lineage 1, complete genome",data/refs/Flaviviridae/West-Nile.fasta,
Flaviviridae,1,Yellow-Fever,6,Yellow fever virus,,9627244,10862,"NC_002031.1 Yellow fever virus, complete genome",data/refs/Flaviviridae/Yellow-Fever.fasta,
Flaviviridae,1,Japanese-Encephalitis,7,Japanese encephalitis virus,,9626460,10976,"NC_001437.1 Japanese encephalitis virus, genome",data/refs/Flaviviridae/Japanese-Encephalitis.fasta,
Filoviridae,2,Ebola-Zaire,0,Zaire ebolavirus,,10313991,18959,"NC_002549.1 Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga, complete genome",data/refs/Filoviridae/Ebola-Zaire.fasta,
Filoviridae,2,Ebola-Sudan,1,Sudan ebolavirus,,55770807,18875,"NC_006432.1 Sudan ebolavirus isolate Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome",data/refs/Filoviridae/Ebola-Sudan.fasta,
Filoviridae,2,Ebola-Bundibugyo,2,Bundibugyo ebolavirus,,302371213,18940,"NC_014373.1 Bundibugyo ebolavirus, complete genome",data/refs/Filoviridae/Ebola-Bundibugyo.fasta,
Filoviridae,2,Ebola-TaiForest,3,Tai Forest ebolavirus,,302315369,18935,"NC_014372.1 Tai Forest ebolavirus isolate Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI, complete genome",data/refs/Filoviridae/Ebola-TaiForest.fasta,
Filoviridae,2,Ebola-Reston,4,Reston ebolavirus,,22789222,18891,"NC_004161.1 Reston ebolavirus isolate Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania, complete genome",data/refs/Filoviridae/Ebola-Reston.fasta,
Filoviridae,2,Marburg,5,Marburg marburgvirus,Musoke,2972135382,19112,"NC_001608.4 Marburg virus - Musoke, Kenya, 1980, complete genome",data/refs/Filoviridae/Marburg.fasta,
Filoviridae,2,Ravn,6,Marburg marburgvirus,Ravn,678222041,19114,"NC_024781.1 Marburg marburgvirus isolate Ravn virus/H.sapiens-tc/KEN/1987/Kitum Cave-810040, complete genome",data/refs/Filoviridae/Ravn.fasta,
